tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:154:5,154,10,0,0,0,4,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:154:6,154,0,0,0,0,25,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:155:0,155,353,0,0,0,21,73
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:155:7,155,29,0,0,0,21,73
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:156:3,156,2,0,0,0,7,50
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:158:1,158,317,0,0,0,10,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:158:5,158,0,0,0,0,6,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:158:7,158,12,0,0,0,8,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:160:2,160,1,0,0,0,5,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:160:3,160,0,0,0,0,3,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:160:4,160,524,0,0,0,10,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:160:6,160,1,0,0,0,4,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:162:1,162,3,0,0,0,3,35
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:162:2,162,7,0,0,0,3,35
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:162:4,162,25,0,0,0,6,35
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:163:3,163,0,0,0,0,10,97
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:163:6,163,1,0,0,0,15,97
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:167:0,167,11,0,0,0,7,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:167:3,167,13,0,0,0,6,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:171:1,171,2,0,0,0,22,63
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:171:5,171,242,0,0,0,3,63
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:179:0,179,2,0,0,0,6,53
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:179:7,179,3,0,0,0,8,53
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:181:0,181,26,0,0,0,8,72
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:182:5,182,2,0,0,0,15,37
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:185:1,185,1,0,0,0,3,8
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:185:2,185,11,0,0,0,3,8
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:185:3,185,7,0,0,0,2,8
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:190:6,190,7,0,0,0,14,68
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:193:1,193,41,0,0,0,29,87
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:193:4,193,9,0,0,0,21,87
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:196:6,196,225,0,0,0,9,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:200:2,200,36,0,0,0,13,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:200:6,200,9,0,0,0,6,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:204:0,204,222,0,0,0,27,108
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:204:3,204,22,7,0,1,38,108
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:204:7,204,422,0,0,0,34,108
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:207:4,207,481,0,0,0,4,65
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:215:0,215,266,0,0,0,6,68
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:215:5,215,70,0,0,0,6,68
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:216:4,216,35,0,0,0,16,70
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:226:2,226,692,0,0,0,4,26
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:226:5,226,6,0,0,0,5,26
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:228:0,228,21,17,0,0,22,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:231:5,231,510,0,0,0,15,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:234:1,234,23,0,0,0,25,88
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:234:4,234,0,0,0,0,1,88
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:0,238,263,0,0,0,9,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:1,238,286,0,0,0,10,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:2,238,279,0,0,0,12,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:3,238,12,0,0,0,13,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:4,238,238,1,0,0,12,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:5,238,223,0,0,0,10,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:6,238,1,0,0,0,11,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:238:7,238,297,0,0,0,12,42
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:239:6,239,0,0,0,0,10,46
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:243:7,243,4,0,0,0,20,36
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:252:0,252,0,0,0,0,19,74
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:253:2,253,12,0,0,0,6,44
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:253:3,253,13,0,0,0,8,44
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:253:6,253,2,0,0,0,7,44
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:257:5,257,8,0,0,0,26,76
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:264:0,264,46,0,0,0,9,49
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:264:2,264,29,0,0,0,24,49
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:264:4,264,7,0,0,0,12,49
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:268:4,268,2,0,0,0,3,22
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:268:5,268,18,0,0,0,7,22
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:268:6,268,11,0,0,0,5,22
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:272:3,272,0,0,0,0,15,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:272:4,272,6,0,0,0,7,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:272:5,272,54,0,0,0,7,55
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:273:4,273,2,0,0,0,6,39
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:289:1,289,2,0,0,0,9,21
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:294:1,294,0,0,0,0,2,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:294:4,294,491,0,0,0,7,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:0,298,54,0,0,0,40,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:1,298,38,0,0,0,45,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:3,298,140,0,0,0,47,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:4,298,18,0,0,0,38,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:5,298,262,0,0,0,24,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:6,298,36,0,0,0,27,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:298:7,298,170,0,0,0,33,79
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:299:3,299,4,0,0,0,14,66
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:302:3,302,1,0,0,0,15,76
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:302:4,302,0,0,0,0,11,76
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:302:7,302,4,0,0,0,12,76
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:303:4,303,1,0,0,0,5,36
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:309:6,309,1,0,0,0,9,33
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:310:5,310,3,0,0,0,21,48
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:317:0,317,7,0,0,0,9,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:317:2,317,4,0,0,0,16,56
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:320:5,320,8,0,0,0,21,49
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:321:6,321,52,0,0,0,3,43
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:325:0,325,379,0,0,0,3,30
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:325:1,325,0,0,0,0,7,30
