model_tag,model_path,probe_id,stable_prompt_id,m,anchor_region,k_1based,gold_blocks,s_R_C1,s_N_C1,s_R_C2,s_N_C2,s_R_C3,s_N_C3,gain_motif,gain_copy,gain_recovery,margin_c1,margin_c2,gain_second,seconds
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,f01e4af72eeafe9ad1fb8ec6,775,2,late,20,26,-1.7188007831573486,-3.1339032649993896,-1.1453272104263306,-2.892151355743408,-0.7232826948165894,-3.0100162029266357,0.3317216634750366,0.5734735727310181,-0.24175190925598145,1.415102481842041,1.7468241453170776,0.5399093627929688,0.83
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,5dae32552c442a3aeffd66a5,775,4,mid,14,26,-1.3345482349395752,-1.0103225708007812,-1.0384691953659058,-0.6121959686279297,-0.7105939984321594,-0.5248148441314697,-0.10204756259918213,0.29607903957366943,-0.39812660217285156,-0.32422566413879395,-0.4262732267379761,0.24049407243728638,0.78
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,02d92b53f68848660bb14463,775,8,early,9,26,-1.2048320770263672,-1.721551537513733,-0.8930403590202332,-1.7385021448135376,-0.2539159953594208,-1.771522879600525,0.3287423253059387,0.31179171800613403,0.016950607299804688,0.5167194604873657,0.8454617857933044,0.6721450984477997,0.77
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,2e4769ee4f820b7f8cad838a,114,1,late,9,13,-1.1078119277954102,-0.8231725692749023,-1.0683846473693848,-0.776861846446991,-0.8097951412200928,-0.7759482264518738,-0.006883442401885986,0.03942728042602539,-0.04631072282791138,-0.2846393585205078,-0.2915228009223938,0.2576758861541748,0.78
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,557448943f3fe0e9d0a25c9d,114,2,mid,7,13,-1.8827009201049805,-0.005150318145751953,-0.9967794418334961,-0.04549098014831543,-0.5762550830841064,-0.09588360786437988,0.9262621402740479,0.8859214782714844,0.04034066200256348,-1.8775506019592285,-0.9512884616851807,0.4709169864654541,0.77
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,13d6e6a4d2e0aa3ae7eef430,114,4,early,4,13,-1.756927490234375,-0.5145679712295532,-1.0069420337677002,-0.4101230800151825,-0.47210782766342163,-0.38474175333976746,0.6455405652523041,0.7499854564666748,-0.10444489121437073,-1.2423595190048218,-0.5968189537525177,0.5094528794288635,0.76
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,562c005c6a3f05c6801e17c5,114,8,late,9,13,-0.9528875350952148,-0.8231725692749023,-0.6237690448760986,-0.797795295715332,-0.4122812747955322,-0.6931015849113464,0.3037412166595459,0.3291184902191162,-0.025377273559570312,-0.1297149658203125,0.1740262508392334,0.10679405927658081,0.85
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,0789690a98ffa8ff10044a85,226,1,mid,15,26,-1.5620088577270508,-0.6996164321899414,-0.6990520358085632,-0.7177482843399048,-0.3447912335395813,-0.7151121497154236,0.8810886740684509,0.8629568219184875,0.01813185214996338,-0.8623924255371094,0.018696248531341553,0.35162466764450073,0.68
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,23305a9398342bd15f9632f0,226,2,early,9,26,-1.4803006649017334,-1.1839001178741455,-1.067563772201538,-1.0278704166412354,-0.4549083709716797,-1.1129417419433594,0.25670719146728516,0.4127368927001953,-0.15602970123291016,-0.2964005470275879,-0.039693355560302734,0.6977267265319824,0.63
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,bc7372af10659172c78d9465,226,4,late,25,26,-1.5762428045272827,-0.7406279444694519,-0.7792900204658508,-0.660564124584198,-0.24919433891773224,-0.6575130224227905,0.716888964176178,0.7969527840614319,-0.0800638198852539,-0.8356148600578308,-0.11872589588165283,0.5270445793867111,0.8
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,0007cb462363661747a643bf,226,8,mid,16,26,-1.8396997451782227,-1.7209372520446777,-0.4796895980834961,-1.9375574588775635,-0.14340083301067352,-2.1037473678588867,1.5766303539276123,1.3600101470947266,0.21662020683288574,-0.11876249313354492,1.4578678607940674,0.5024786740541458,0.75
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,6cfb87c500e5f1bf176ea656,852,1,early,3,31,-0.5763305425643921,-0.1760556846857071,-0.48959439992904663,-0.1940777748823166,-0.30914103984832764,-0.20495907962322235,0.10475823283195496,0.08673614263534546,0.018022090196609497,-0.400274857878685,-0.29551662504673004,0.19133466482162476,0.52
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,61e48dfba3310514131f1c67,852,2,late,24,31,-0.6320902109146118,-0.35246917605400085,-0.3792988955974579,-0.36276111006736755,-0.1112380400300026,-0.39729443192481995,0.26308324933052063,0.25279131531715393,0.0102919340133667,-0.27962103486061096,-0.016537785530090332,0.3025941774249077,0.75
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,32d52626e8d28807e1eb2f9b,852,4,mid,15,31,-0.7035574316978455,-0.34975436329841614,-0.3423626124858856,-0.6700952053070068,-0.05429871752858162,-0.7183039784431458,0.6815356612205505,0.36119481921195984,0.3203408420085907,-0.3538030683994293,0.3277325928211212,0.3362726680934429,0.67
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,9c8b3a9ee0102a1918bcbd5c,852,8,early,8,31,-0.48718634247779846,-0.6145793199539185,-0.5243149995803833,-0.612399697303772,-0.4129260182380676,-0.5955417156219482,-0.03930827975273132,-0.03712865710258484,-0.0021796226501464844,0.12739297747612,0.08808469772338867,0.09453099966049194,0.63
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,2e06c22d60bad9df63ee59a0,820,1,late,25,32,-1.017698884010315,-1.0719512701034546,-1.110805869102478,-1.0863078832626343,-0.4033977687358856,-1.0464540719985962,-0.0787503719329834,-0.09310698509216309,0.014356613159179688,0.05425238609313965,-0.02449798583984375,0.6675542891025543,1.01
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,1c7a4acc31b015b6e6ad98fd,820,2,mid,21,32,-1.306018590927124,-0.770933985710144,-0.9553771615028381,-0.5207922458648682,-0.4187600910663605,-0.5124490857124329,0.10049968957901001,0.3506414294242859,-0.2501417398452759,-0.53508460521698,-0.43458491563796997,0.5282739102840424,0.97
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,9c66cbb7bd85e51d036817dd,820,4,early,4,32,-1.3020790815353394,-1.2978830337524414,-0.7975436449050903,-1.2210772037506104,-0.28115716576576233,-1.1987273693084717,0.42772960662841797,0.504535436630249,-0.07680583000183105,-0.004196047782897949,0.42353355884552,0.49403664469718933,0.82
