range_type,progress_range,progress_left,progress_right,metric,m0,m1,diff_m1_minus_m0,ci_low,ci_high,m0_denominator,m1_denominator
aggregate,0.50-1.00G,nan,nan,seen_triple_reuse,0.07686601052996003,0.08945544956276193,0.012589439032801894,0.006554477005353199,0.018724078103764003,222413,234083
aggregate,0.50-1.00G,nan,nan,gold_pair_already_covered_variant,0.015543156200401954,0.01553295198711568,-1.0204213286273828e-05,-0.001265767575591692,0.0013008953617766202,222413,234083
aggregate,0.50-1.00G,nan,nan,new_unmatched,0.6624927499741472,0.6785584600334069,0.01606571005925972,0.009079235850533935,0.02310429711602673,222413,234083
aggregate,0.50-1.00G,nan,nan,invalid_identity,0.0,0.0,0.0,0.0,0.0,222413,234083
aggregate,0.50-1.00G,nan,nan,normal_stop,0.00625862696874733,0.0012004289076951338,-0.005058198061052196,-0.005544664149746493,-0.0045709127642543455,222413,234083
aggregate,>=1.00G,nan,nan,new_strict_gold,0.021591811589362193,0.0069786591366449895,-0.014613152452717205,-0.016769607970715646,-0.012706677746519573,269454,1244795
aggregate,>=1.00G,nan,nan,new_relaxed_gold_pair,0.07537093529878941,0.022986114179443202,-0.05238482111934621,-0.05773483488764561,-0.04751065634011002,269454,1244795
aggregate,>=1.00G,nan,nan,new_valid_any,0.07720427234333133,0.023909157732799377,-0.05329511461053195,-0.058715204365125735,-0.048354178837553545,269454,1244795
aggregate,>=1.00G,nan,nan,seen_triple_reuse,0.344062437373355,0.7307845870203528,0.38672214964699775,0.3564192082661916,0.41736239576736284,269454,1244795
aggregate,>=1.00G,nan,nan,gold_pair_already_covered_variant,0.019446733023076295,0.00773621359340293,-0.011710519429673365,-0.013545420904283416,-0.01004649705018347,269454,1244795
aggregate,>=1.00G,nan,nan,new_unmatched,0.5321576224513275,0.23219887612016438,-0.2999587463311631,-0.3260269270681931,-0.2739540801684772,269454,1244795
aggregate,>=1.00G,nan,nan,invalid_identity,0.0,0.0,0.0,0.0,0.0,269454,1244795
aggregate,>=1.00G,nan,nan,normal_stop,0.02712893480890987,0.00537116553328058,-0.02175776927562929,-0.02339984985435918,-0.020225025687964856,269454,1244795
aggregate,>=1.25G,nan,nan,new_strict_gold,0.014898363772883682,0.00440855625747241,-0.010489807515411273,-0.012551654717433764,-0.00863642566095192,185121,1131663
aggregate,>=1.25G,nan,nan,new_relaxed_gold_pair,0.05039946845576677,0.014370886032325877,-0.03602858242344089,-0.04103806042542152,-0.03139780725949056,185121,1131663
aggregate,>=1.25G,nan,nan,new_valid_any,0.05192279644124653,0.015067206403319716,-0.036855590037926815,-0.042006384507335855,-0.03213091406740522,185121,1131663
aggregate,>=1.25G,nan,nan,seen_triple_reuse,0.42054656143819447,0.7813907497196604,0.3608441882814659,0.32272163510940094,0.4000626956380206,185121,1131663
aggregate,>=1.25G,nan,nan,gold_pair_already_covered_variant,0.01632445805716261,0.006023878133331212,-0.0103005799238314,-0.01230310683241934,-0.008514987975297435,185121,1131663
aggregate,>=1.25G,nan,nan,new_unmatched,0.4826464852717952,0.19219590991311017,-0.290450575358685,-0.3251962460433225,-0.2569253784100707,185121,1131663
aggregate,>=1.25G,nan,nan,invalid_identity,0.0,0.0,0.0,0.0,0.0,185121,1131663
aggregate,>=1.25G,nan,nan,normal_stop,0.028559698791601168,0.005322255830578538,-0.02323744296102263,-0.025571208878063932,-0.021135564614779036,185121,1131663
